"","edu2F","labM","LifeExpect","ExpectYrsEd","GNIperCapita","MMRatio","BirthRate","PercRepresinParliament"
"136",95.1,77.1,69.4,11.2,2517,44,42.8,15.2
"137",5.6,90.2,65,9.2,2411,410,122.7,36
"138",35.7,80.7,74.4,13.5,13323,26,41,6.1
"139",40.2,67.5,75.4,13.4,11780,7,18.3,33.3
"140",16.1,81.3,59.7,12.2,1228,450,91.5,17.6
"141",87.5,74.6,72.8,14.7,5069,120,18.1,0
"142",59.7,75.5,70.4,12.3,26090,84,34.8,24.7
"143",32.8,70.9,74.8,14.6,10404,46,4.6,31.3
"144",39,70.8,75.3,14.5,18677,20,30.9,14.4
"145",22.9,79.2,58.5,9.8,1613,360,126.6,35
"146",91.7,66.9,71,15.1,8178,23,25.7,11.8
"147",73.1,92,77,13.3,60868,8,27.6,17.5
"148",99.8,68.7,80.7,16.2,39267,8,25.8,23.5
"149",95.1,68.9,79.1,16.5,52947,28,31,19.4
"150",54.4,76.8,77.2,15.5,19283,14,58.3,11.5
"151",56.6,79.2,74.2,14.2,16159,110,83.2,17
"152",59.4,82.2,75.8,11.9,5092,49,29,24.3
"153",8.6,72.2,63.8,9.2,3519,270,47,0.7
"154",25.8,85.6,60.1,13.5,3734,280,125.4,12.7
"155",48.7,89.7,57.5,10.9,1615,470,60.3,35.1
